139,2132,2699.7,1
146,2074.6,2715.9,1
140.8,2042.5,2721.7,1
211.8,847.1,1953,1
162.7,1486,1898,1
147.1,969,1953,1
264.5,2238.3,3130.4,1
270,2298.8,3247.3,1
261,2248.6,3154.9,1
134.61,1201.92,2000,1
256.43,885.21,2283.35,1
264.85,907.25,2304.7,1
158.4,2114.8,3532.4,1
161.5,2162.1,3239.6,1
170.3,2058.9,3065,1
239.09,1077.5,2140,1
126.84,1044,2445.2,1
108.31,1861.8,3174.1,1
217.74,2174,3176.3,1
196.39,2231.5,3170.8,1
200.46,2239.6,3172.8,1
184.55,1101.49,2102.11,1
182.57,923.3,2206.9,1
192.76,931.01,2208.85,1
128.38,1873.8,2766.6,1
135.4,1867.3,2772.6,1
122.28,1893.3,2759.5,1
305.38,1998.54,2769.65,1
305.78,2002.88,3394.19,1
293.37,2038.03,3202.16,1
296,2205,2941,1
127,1281,2190,1
132,1425,3119,1
127.21,2045.43,2555.61,1
270.18,2177.6,2826.46,1
263.04,2128.45,2902.71,1
308,913,1971,1
311,940,2012,1
328,990,1980,1
216,2330,3080,1
220,2400,2955,1
224,2328,2992,1
221,2362,3264,1
221,2218,3322,1
317,2439,3072,1
115,2285,2395,1
225,2335,3765,1
225,2435,3105,1
157.2,2400,3256.1,1
158,2476,3257,1
157.2,2474,3723,1
201.5,2042.9,2657.4,1
188.1,1906.2,3062.3,1
188.1,2103.3,2847.9,1
119.5,1064.3,2256.7,1
231.7,1029.6,2285.9,1
116.8,1135.2,2274.1,1
159.07,318.14,478.65,1
154.88,309.67,464.64,1
154.021,307.12,458.37,1
207.4,2162.4,3234.2,1
202,2227.1,3541.2,1
207.4,2200.2,3121.2,1
343.78,643.9,7172,1
316.62,638.3,7002,1
341.31,664.2,7287,1
125.05,2247.4,3195.5,1
127.2,2257.9,3189.6,1
124.6,2242.8,3307.2,1
284.7,958.1,2937.5,2
298.5,930.7,2898,2
284.8,971.9,2957.4,2
216,2090,3009,1
109,2034,2990,1
233,2056,3066,1
137,2098,3152,1
145,2187,3189,1
151,2060,3241,1
223,2114,3014,1
222,2118,2784,1
229,2051,2842,1
207,1750,2925,1
205,1732,2879,1
203,1724,2921,1
198,572,2377,1
207,575,2373,1
197,567,2347,1
255,2416,3485,1
256,2528,3448,1
245,2441,3395,1
130,250,2105,1
124,248,2176,1
126,255,2166,1
247,1678,2830,1
232,1698,2942,1
254,1721,2950,1
189.4,2134.2,3098.1,1
192.3,2157.9,3116.2,1
214.7,2195.3,3177.6,1
260.5,2249.1,2962.3,1
255.3,1853.9,2755.3,1
249.4,2007.6,2873.5,1
